,price,sqft_living,grade,lat,long,min_dist_park,closest_distance_to_top_school,closest_distance_to_great_coffee,closest_distance_to_scientology
0,221900.0,1180,7,47.5112,-122.257,2.038307293948517,0.26186714010958645,4.950173849813737,12.705035553442565
1,538000.0,2570,7,47.721000000000004,-122.319,5.052057710119824,0.6823769622498362,14.813167780828373,10.800338328227388
2,180000.0,770,6,47.7379,-122.23299999999999,1.337990461344532,2.0029996243672357,13.499367499852692,10.838219867018012
3,604000.0,1960,7,47.5208,-122.39299999999999,2.448557143643891,1.7294309130198724,14.47652236036143,11.547176868914029
4,510000.0,1680,8,47.6168,-122.045,2.6728316989804743,1.17925450579719,8.548013921278649,21.182016223703428
6,257500.0,1715,7,47.3097,-122.32700000000001,5.3950559904751305,15.835562418540162,16.57835236058258,33.954557695288116
7,291850.0,1060,7,47.4095,-122.315,0.5035110321577736,10.409649148446352,7.910705969091169,22.876779542232306
8,229500.0,1780,7,47.5123,-122.337,2.09148891678878,1.5372085237122741,10.194836296522938,11.448245302674076
9,323000.0,1890,7,47.3684,-122.031,5.146490765307543,0.8472912627196677,16.3005710459206,35.338388345510154
10,662500.0,3560,8,47.6007,-122.145,2.7319485037280145,1.0999591787385505,3.9981708523888595,13.780442436044016
11,468000.0,1160,7,47.69,-122.292,3.2306776809611737,0.5988002674825772,10.906520447089239,8.748762282594617
12,310000.0,1430,7,47.7558,-122.229,2.4998649388970153,3.9814862143065253,15.379887103435,9.470253773847576
13,400000.0,1370,7,47.6127,-122.045,6.908751908531631,1.1638330013541431,8.092578527483742,21.18358844769276
14,530000.0,1810,7,47.67,-122.39399999999999,5.192132007584342,0.299514930722717,16.262466787945627,5.84313127666673
15,650000.0,2950,9,47.5714,-122.375,1.8873347584065685,1.0272021458728704,14.887711721417379,5.764834381067909
16,395000.0,1890,7,47.7277,-121.962,3.0828747884069294,5.897000278832691,20.85279826921983,28.260294203056716
17,485000.0,1600,7,47.6648,-122.34299999999999,2.6018863282407465,0.5790946786861347,12.498185731517236,4.906281071108329
18,189000.0,1200,7,47.3089,-122.21,2.1148309199177984,12.247416360976867,14.597110792197558,35.172302305245104
19,230000.0,1250,7,47.3343,-122.306,4.972418332760554,15.009132626435367,13.418577776386625,31.26123361567816
20,385000.0,1620,7,47.7025,-122.34100000000001,2.822163176921704,0.28788412979518463,14.561550812141528,9.03422680353554
22,285000.0,2270,8,47.3266,-122.169,1.9548768919504396,8.758556934635884,13.181186298732657,34.21842108822241
23,252700.0,1070,7,47.3533,-122.166,3.101054698240353,6.430871222425317,10.462420904322476,31.537420852238576
24,329000.0,2450,8,47.3739,-122.17200000000001,5.003423469817577,5.708916373127494,8.189677365954383,29.252581212833313
25,233000.0,1710,6,47.3048,-122.21799999999999,3.189425942415967,12.991853146461207,15.034329244748744,35.469345907907424
27,667000.0,1400,8,47.6221,-122.314,2.16884643306935,0.38000559497443515,9.296600095253572,1.2840657323369855
28,438000.0,1520,7,47.695,-122.304,7.764055025442565,0.6314590190229016,11.935266315155106,9.062694570911656
29,719000.0,2570,8,47.7073,-122.11,5.257445873015001,0.811724085703806,11.407218761588377,19.254111840369337
30,580500.0,2320,8,47.5391,-122.07,6.020056254584513,1.5046457377387243,2.254193504555692,21.08705971962156
31,280000.0,1190,7,47.7274,-122.35700000000001,0.9151010232085693,0.9753156756602431,17.290634762779472,10.553007662850998
32,687500.0,2330,7,47.6823,-122.368,1.9164187890678521,0.2963530080734813,15.025458823692045,6.6832909582366895
33,535000.0,1090,8,47.6889,-122.375,1.7450872076457322,1.0580514321334744,15.833631072243168,7.470443435561829
34,322500.0,2060,7,47.4276,-122.15700000000001,4.520919558431673,5.892251185294476,4.93519307948175,24.465737991011412
35,696000.0,2300,8,47.6827,-122.31,0.6510494249584563,0.3002267166307465,11.375577146338268,7.635653602900359
36,550000.0,1660,5,47.6621,-122.132,1.5452943797357057,0.6430292485516248,6.387250532844784,15.559147915445573
37,640000.0,2360,8,47.6702,-122.36200000000001,2.359846879249371,0.15139942643744367,14.04240403304781,5.3178555145987065
38,240000.0,1220,7,47.3341,-122.28200000000001,6.59252520519439,15.051554833707744,12.66689365821187,31.42862894373528
39,605000.0,2620,8,47.5301,-122.18,1.5413514316642343,1.501627166169268,6.009382507299672,14.554037250139066
40,625000.0,2570,9,47.6145,-122.027,5.421974551416922,0.5485901112312962,8.341230832888929,22.530924703824418
41,775000.0,4220,8,47.445,-122.34700000000001,0.7559753035517274,7.924325958657424,9.567144286643128,18.96596287767254
42,861990.0,3595,9,47.6848,-122.016,0.9883918341226307,1.1968862873163986,14.892445872065663,24.594226377555998
43,685000.0,1570,7,47.6413,-122.36399999999999,2.45849143449507,0.3327248746655322,13.252083460560705,2.1156285208020353
44,309000.0,1280,6,47.4485,-122.175,4.855598997068377,5.418757831701298,3.513602335567999,21.776965133145566
45,488000.0,3160,8,47.7443,-121.977,1.4746619122343754,5.431529378726054,21.101947077422402,26.585354963028145
46,210490.0,990,6,47.3066,-122.37100000000001,7.03592958366239,14.280541460090358,18.690253928548756,34.454210929101016
47,785000.0,2290,9,47.6194,-122.15100000000001,1.757721389485218,0.100343398187935,2.9238452164299735,13.24424219737876
48,450000.0,1250,7,47.6796,-122.301,6.353847854856771,0.0870805049039127,10.632744602586287,7.4476325467211195
50,228000.0,1190,7,47.4258,-122.322,1.157923640977617,9.476147015583582,7.833055477347345,21.04895196838898
51,345000.0,3150,8,47.4934,-122.189,2.260937826570614,3.753665359736883,2.170282248220385,17.06341047415272
52,600000.0,1410,7,47.6808,-122.384,1.6637446215657954,0.3123885763772452,16.0275789274562,6.7202063525509494
53,585000.0,1980,7,47.6989,-122.369,1.8014579875880885,0.8322385607457754,16.021589732498885,8.529610519224748
55,885000.0,2830,9,47.6597,-122.29,7.250212140918385,0.7496754896400587,8.69599527948543,5.706747644223538
56,292500.0,2250,7,47.3663,-122.11399999999999,6.836579862207385,2.8383381197035877,11.43687120101768,31.978805929177458
57,301000.0,2420,8,47.3663,-122.12200000000001,1.7637545489082485,3.1127153234340965,11.025338178719613,31.68144092448631
59,430000.0,1850,8,47.5059,-122.149,3.604183909468806,0.9420529468011888,5.412828301019259,18.080067501399533
60,650000.0,2150,8,47.4336,-122.339,1.6077578554931333,8.35899180885037,8.978556754965828,20.19567191427566
61,289000.0,1260,7,47.4366,-122.335,2.556234954759652,8.681110482836358,8.657470894837996,19.851693437764204
62,505000.0,2519,8,47.4428,-122.344,0.3861543437380875,8.098654699590536,9.330753274287822,19.194097316140365
63,549000.0,1540,8,47.6765,-122.32,3.0177225927039637,0.38918278081776536,11.588975020592622,6.756963229438281
64,425000.0,1660,7,47.6113,-122.29700000000001,1.6219885818517292,0.267342375120941,8.078495641753262,2.3300998912951045
